ID,  Line,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,ØLength
6001,WT-1,532,0.83,1.56,1.8,1.4,1.9
6002,WT-2,596,0.61,1.02,1.8,1.4,1.9
6003,WT-3,390,0.38,0.97,1.8,1.4,1.8
6004,WT-4,651,0.64,0.98,1.8,1.4,1.9
6083,WT-5,377,0.39,1.03,1.8,1.4,1.8
6084,WT-6,468,0.49,1.04,1.9,1.4,1.9
6085,WT-7,451,0.43,0.96,1.8,1.4,1.8
6086,WT-8,448,0.45,1,1.8,1.4,1.9
6087,WT-9,567,0.57,1.01,1.8,1.4,1.8
6088,WT-10,597,0.6,1,1.8,1.4,1.9
6005,Mutant1-1,713,0.75,1.06,2,1.5,1.9
6006,Mutant1-2,698,0.83,1.19,2.1,1.5,2
6007,Mutant1-3,625,0.74,1.19,2,1.5,2
6008,Mutant1-4,633,0.75,1.18,2.1,1.5,2
6065,Mutant1-5,508,0.53,1.05,1.9,1.4,1.9
6066,Mutant1-6,576,0.59,1.03,1.9,1.4,1.9
6067,Mutant1-7,604,0.74,1.23,2.1,1.5,2
6068,Mutant1-8,508,0.62,1.22,2.1,1.5,2
6069,Mutant1-9,473,0.55,1.16,2,1.5,2
6070,Mutant1-10,595,0.7,1.17,2,1.5,2
6009,Mutant2-1,668,0.69,1.03,1.9,1.4,1.9
6010,Mutant2-2,832,0.77,0.93,1.8,1.4,1.8
6011,Mutant2-3,906,0.92,1.02,1.8,1.4,1.9
6012,Mutant2-4,773,0.71,0.92,1.7,1.4,1.8
6059,Mutant2-5,509,0.6,1.18,2,1.5,1.9
6060,Mutant2-6,583,0.63,1.08,1.9,1.5,1.9
6061,Mutant2-7,685,0.81,1.18,2,1.5,1.9
6062,Mutant2-8,560,0.67,1.2,2,1.5,1.9
6063,Mutant2-9,440,0.49,1.12,1.9,1.4,1.9
6064,Mutant2-10,525,0.62,1.18,2,1.5,1.9
6013,Mutant3-1,318,0.53,1.66,2.7,1.7,2.2
6015,Mutant3-2,506,0.84,1.66,2.7,1.7,2.2
6016,Mutant3-3,481,0.76,1.58,2.6,1.7,2.2
6045,Mutant3-4,533,0.9,1.68,2.7,1.7,2.2
6046,Mutant3-5,407,0.67,1.65,2.7,1.7,2.2
6047,Mutant3-6,394,0.63,1.59,2.6,1.7,2.2
6048,Mutant3-7,434,0.72,1.67,2.7,1.7,2.2
6049,Mutant3-8,421,0.61,1.46,2.6,1.7,2.2
6055,Mutant3-9,516,0.7,1.36,2.4,1.6,2.1
I10087072,Mutant4-1,563,0.72,1.27,2.1,1.6,2
6033,Mutant4-2,553,0.71,1.27,2.2,1.6,2
6034,Mutant4-3,575,0.73,1.28,2.2,1.6,2
6035,Mutant4-4,698,0.85,1.22,2.1,1.6,2
6071,Mutant4-5,309,0.37,1.18,2.1,1.6,1.9
6072,Mutant4-6,357,0.42,1.17,2.1,1.5,1.9
6073,Mutant4-7,441,0.53,1.2,2.1,1.5,1.9
6074,Mutant4-8,531,0.67,1.27,2.1,1.6,1.9
6075,Mutant4-9,445,0.58,1.3,2.1,1.6,2
6076,Mutant4-10,558,0.62,1.11,2.1,1.5,1.9
6017,Mutant5-1,646,0.74,1.14,1.4,1.2,1.6
6018,Mutant5-2,781,0.87,1.12,1.4,1.2,1.6
6019,Mutant5-3,956,1.07,1.12,1.4,1.2,1.6
6020,Mutant5-4,841,0.9,1.06,1.3,1.2,1.6
6089,Mutant5-5,552,0.58,1.06,1.4,1.2,1.6
6090,Mutant5-6,679,0.68,1,1.3,1.2,1.6
6091,Mutant5-7,618,0.68,1.1,1.4,1.2,1.6
6092,Mutant5-8,563,0.56,0.99,1.3,1.2,1.6
6093,Mutant5-9,745,0.7,0.93,1.2,1.2,1.5
6094,Mutant5-10,782,0.48,0.62,0.9,1,1.3
6021,Mutant6-1,801,0.83,1.04,1.2,1.2,1.5
6022,Mutant6-2,687,0.8,1.17,1.4,1.2,1.6
6023,Mutant6-3,801,0.87,1.08,1.3,1.2,1.6
6024,Mutant6-4,1267,1.29,1.02,1.2,1.2,1.5
6050,Mutant6-5,768,0.81,1.06,1.3,1.2,1.6
6051,Mutant6-6,892,1,1.12,1.3,1.2,1.6
6052,Mutant6-7,1019,0.8,0.78,1,1.1,1.4
6053,Mutant6-8,607,0.7,1.16,1.4,1.2,1.6
6057,Mutant6-9,673,0.85,1.26,1.5,1.3,1.7
6058,Mutant6-10,785,0.99,1.26,1.4,1.3,1.7
6025,Mutant7-1,663,0.76,1.15,1.4,1.2,1.6
6026,Mutant7-2,737,0.71,0.97,1.3,1.2,1.6
6027,Mutant7-3,818,0.82,1.01,1.2,1.2,1.5
6028,Mutant7-4,644,0.77,1.19,1.4,1.2,1.6
6054,Mutant7-5,766,0.64,0.84,1.1,1.1,1.5
6029,Mutant8-1,421,0.67,1.58,1.8,1.4,1.8
6032,Mutant8-2,661,1.07,1.62,1.8,1.4,1.8
6039,Mutant8-3,503,0.81,1.61,1.8,1.4,1.8
6040,Mutant8-4,609,1,1.63,1.8,1.4,1.8
6041,Mutant8-5,981,1.45,1.48,1.7,1.4,1.8
6042,Mutant8-6,684,1.09,1.59,1.8,1.4,1.8
6044,Mutant8-7,566,0.82,1.45,1.7,1.4,1.8
I10087071,Mutant9-1,672,0.84,1.25,1.6,1.3,1.7
6036,Mutant9-2,584,0.73,1.25,1.6,1.3,1.7
6037,Mutant9-3,711,0.86,1.21,1.5,1.3,1.7
6077,Mutant9-4,383,0.49,1.28,1.6,1.3,1.7
6078,Mutant9-5,576,0.75,1.3,1.6,1.3,1.7
6079,Mutant9-6,409,0.57,1.38,1.7,1.4,1.8
6080,Mutant9-7,544,0.71,1.31,1.7,1.4,1.8
6081,Mutant9-8,540,0.53,0.99,1.4,1.2,1.6
6082,Mutant9-9,577,0.7,1.21,1.6,1.3,1.7
